
name,image_url
Andorra,https://cdn.torneopal.net/logo/palloliitto/5275x.png
Ankdammen IF,
Ankkalampi AC,
Antiikin ihmeet,
APB,
Apropos lingua Oy,
Apustajat,
Arabiemiirikunnat,https://cdn.torneopal.net/logo/palloliitto/5344x.png
ARES-86,https://cdn.torneopal.net/logo/palloliitto/2645x.png
Ariana Fc,https://cdn.torneopal.net/logo/palloliitto/6915x.png
Armenia,https://cdn.torneopal.net/logo/palloliitto/4137x.png
Arpelan Palloseura,
Arvicolinae ignoratus,
AS FORTUNE,https://cdn.torneopal.net/logo/palloliitto/5079x.png
AS Fumax,
AS Laru,https://cdn.torneopal.net/logo/palloliitto/1000x.png
AS Moon,https://cdn.torneopal.net/logo/palloliitto/350x.png
AS RaPe Football,https://cdn.torneopal.net/logo/palloliitto/1001x.png
Askiston Pallo,https://cdn.torneopal.net/logo/palloliitto/4401x.png
Askolan Urheilijat,https://cdn.torneopal.net/logo/palloliitto/650x.png
Assemblin,
Athene Football Club,https://cdn.torneopal.net/logo/palloliitto/5794x.png
ATHLETIC CLUB DARRA TAMPERE,https://cdn.torneopal.net/logo/palloliitto/3138x.png
Atlantis FC Edustus,https://cdn.torneopal.net/logo/palloliitto/187x.png
Atlantis Football Club,https://cdn.torneopal.net/logo/palloliitto/152x.png
Atleetikko Klubi harraste,
Atleetikko Klubi Turku,https://cdn.torneopal.net/logo/palloliitto/3376x.png
Atletica Malmi,https://cdn.torneopal.net/logo/palloliitto/4403x.png
Atlético Aamuyö,https://cdn.torneopal.net/logo/palloliitto/6912x.png
Atletico Hedeby,https://cdn.torneopal.net/logo/palloliitto/5213x.png
Atlético Itä-Helsinki,https://cdn.torneopal.net/logo/palloliitto/4404x.png
Atlético Kaleva,https://cdn.torneopal.net/logo/palloliitto/4405x.png
Atletico Lauttasaari,
Atlético Mousse,https://cdn.torneopal.net/logo/palloliitto/5769x.png
Atletico Univaje,https://cdn.torneopal.net/logo/palloliitto/2616x.png
"Atomit, Loviisa-Atomerna",https://cdn.torneopal.net/logo/palloliitto/815x.png
ATW United,https://cdn.torneopal.net/logo/palloliitto/6140x.png
Auran Palokunnan Urheilijat,https://cdn.torneopal.net/logo/palloliitto/2857x.png
Aurora Futsal Tallinn,
Avauspotku,https://cdn.torneopal.net/logo/palloliitto/4407x.png
Azerbaidzan,https://cdn.torneopal.net/logo/palloliitto/4022x.png
Bahrain,https://cdn.torneopal.net/logo/palloliitto/5277x.png
Ballheads,
Balloilijat,
Balls Of Babylon,
Banaadir Oulu,
Bar Munkkis FC,
Barbados,https://cdn.torneopal.net/logo/palloliitto/5276x.png
Barcenal,https://cdn.torneopal.net/logo/palloliitto/6905x.png
Barjens FC,https://cdn.torneopal.net/logo/palloliitto/955x.png
Bayer BB80,
Bayern Munkki,https://cdn.torneopal.net/logo/palloliitto/5826x.png
BDO,https://cdn.torneopal.net/logo/palloliitto/5089x.png
BEEFCAKES,https://cdn.torneopal.net/logo/palloliitto/1269x.png
Belgia,https://cdn.torneopal.net/logo/palloliitto/4023x.png
Bench Boost,https://cdn.torneopal.net/logo/palloliitto/5369x.png
Bermuda,https://cdn.torneopal.net/logo/palloliitto/5278x.png
Big Balls,https://cdn.torneopal.net/logo/palloliitto/4410x.png
BIH,https://cdn.torneopal.net/logo/palloliitto/4155x.png
Bk Black Eagles,
BK GUBBE,
Black Islanders,https://cdn.torneopal.net/logo/palloliitto/595x.png
Blue Eyes Team,https://cdn.torneopal.net/logo/palloliitto/3208x.png
Bolivia,https://cdn.torneopal.net/logo/palloliitto/5279x.png
Bollklubben - 48,https://cdn.torneopal.net/logo/palloliitto/3086x.png
Bollklubben -46,https://cdn.torneopal.net/logo/palloliitto/67x.png
Bonerforest,https://cdn.torneopal.net/logo/palloliitto/4411x.png
Boohkajat,
Boost FC,
Borgå Akilles - Porvoon Akilles,https://cdn.torneopal.net/logo/palloliitto/290x.png
Bosnia-Hertsegovina,https://cdn.torneopal.net/logo/palloliitto/4138x.png
Bosnialaisten Kulttuurikeskus Suomessa,https://cdn.torneopal.net/logo/palloliitto/3281x.png
Bosnisk Fotbollsförering Gazije,https://cdn.torneopal.net/logo/palloliitto/3304x.png
Boys in paris,
Boys of Finland,https://cdn.torneopal.net/logo/palloliitto/4412x.png
Bragun Pallokissat,https://cdn.torneopal.net/logo/palloliitto/1167x.png
Brasilia,https://cdn.torneopal.net/logo/palloliitto/5280x.png
Brobeans,https://cdn.torneopal.net/logo/palloliitto/3976x.png
Broccoli FC,
BroCode,https://cdn.torneopal.net/logo/palloliitto/4964x.png
BROS CF,
Bruce Robertsonin Oppipojat,
Bulgaria,https://cdn.torneopal.net/logo/palloliitto/4180x.png
Bulls Hit United,
Burros CF,https://cdn.torneopal.net/logo/palloliitto/903x.png
Bättre Folk,https://cdn.torneopal.net/logo/palloliitto/1127x.png
Calcio Veltto,https://cdn.torneopal.net/logo/palloliitto/6037x.png
Canona,https://cdn.torneopal.net/logo/palloliitto/878x.png
CD River Vuoksi,https://cdn.torneopal.net/logo/palloliitto/5138x.png
CF Laatufutis,
CG Seittimiehet,https://cdn.torneopal.net/logo/palloliitto/3720x.png
Cherokee FC,https://cdn.torneopal.net/logo/palloliitto/1271x.png
Chicken Wings Sports Club,https://cdn.torneopal.net/logo/palloliitto/3651x.png
Chile,https://cdn.torneopal.net/logo/palloliitto/4181x.png
Choco Bonito,https://cdn.torneopal.net/logo/palloliitto/4187x.png
ChrisU,https://cdn.torneopal.net/logo/palloliitto/2773x.png
Cleva United,https://cdn.torneopal.net/logo/palloliitto/5618x.png
COLO-COLO,https://cdn.torneopal.net/logo/palloliitto/514x.png
Conjo,https://cdn.torneopal.net/logo/palloliitto/1272x.png
Corehart,
CORINTHIAN LESKINEN,
Cosmos Athletic,https://cdn.torneopal.net/logo/palloliitto/904x.png
Costa Rica,https://cdn.torneopal.net/logo/palloliitto/5285x.png
CQN,
Crappy Feet United,https://cdn.torneopal.net/logo/palloliitto/5099x.png
Creators,
Crew96,https://cdn.torneopal.net/logo/palloliitto/5964x.png
CSKA MORDOR,https://cdn.torneopal.net/logo/palloliitto/5389x.png
D-TEAM,
Darras Taas,https://cdn.torneopal.net/logo/palloliitto/4416x.png
DAS BOLLEN,
DDR,https://cdn.torneopal.net/logo/palloliitto/5274x.png
DegPy,https://cdn.torneopal.net/logo/palloliitto/5989x.png
DEPORTIVO ATISTICO,
Deportivo de Töölö,https://cdn.torneopal.net/logo/palloliitto/4417x.png
DESTIA,https://cdn.torneopal.net/logo/palloliitto/5006x.png
Deutsch-Finnischer Sportverein,https://cdn.torneopal.net/logo/palloliitto/6009x.png
Devisioona United,https://cdn.torneopal.net/logo/palloliitto/4418x.png
Dice of Destiny United,
DIE ELITE,
DIE MANNSCHAFT,
DILETANTIT,
Dingles FC,https://cdn.torneopal.net/logo/palloliitto/3951x.png
Divarin Pallo,
Dog's Ball,https://cdn.torneopal.net/logo/palloliitto/4957x.png
DONIS PABLOS,
Drumsö Idrottskamrater DICKEN,https://cdn.torneopal.net/logo/palloliitto/561x.png
Dynamo,https://cdn.torneopal.net/logo/palloliitto/452x.png
Dynamo United,https://cdn.torneopal.net/logo/palloliitto/3140x.png
Dynkky Legendat,https://cdn.torneopal.net/logo/palloliitto/4190x.png
E-JALKAPALLO,
E-jalkapallo,
Ecuador,https://cdn.torneopal.net/logo/palloliitto/5287x.png
Edustus STPS-Savonlinnan Seudun Palloseura,https://cdn.torneopal.net/logo/palloliitto/3311x.png
Ef Cee Roi Kiin,
Egypti,https://cdn.torneopal.net/logo/palloliitto/5288x.png
Ekenäs Idrottsförening,https://cdn.torneopal.net/logo/palloliitto/188x.png
EL MuGLad,https://cdn.torneopal.net/logo/palloliitto/5075x.png
El Munitos,
El´Locos Flamingos,https://cdn.torneopal.net/logo/palloliitto/4422x.png
El-Nibras FC,https://cdn.torneopal.net/logo/palloliitto/5650x.png
El' Locos Flamingos,
Electric Legends FC,
Elimäen IFS,https://cdn.torneopal.net/logo/palloliitto/4376x.png
Elimäen Vauhti,https://cdn.torneopal.net/logo/palloliitto/3202x.png
Elite Football Club,https://cdn.torneopal.net/logo/palloliitto/5161x.png
Ellas,https://cdn.torneopal.net/logo/palloliitto/500x.png
Enfo,https://cdn.torneopal.net/logo/palloliitto/4423x.png
Englanti,https://cdn.torneopal.net/logo/palloliitto/4144x.png
Enmac,https://cdn.torneopal.net/logo/palloliitto/4424x.png
Epilän Esa,
Erotuomarikerho 2000,
Erotuomarikerho Pallopuntari,
Esbo Bollklubb,https://cdn.torneopal.net/logo/palloliitto/34x.png
ESJ,https://cdn.torneopal.net/logo/palloliitto/5123x.png
Espanja,https://cdn.torneopal.net/logo/palloliitto/4024x.png
Espanjan Seisojat,
Espoo Wanderers,
Espoon Erotuomarikerho,https://cdn.torneopal.net/logo/palloliitto/2625x.png
Espoon KPK,https://cdn.torneopal.net/logo/palloliitto/5370x.png
Espoon Palloseuran Jalkapallo,https://cdn.torneopal.net/logo/palloliitto/69x.png
Espoon Tikka,https://cdn.torneopal.net/logo/palloliitto/204x.png
Esse Idrottsklubb,https://cdn.torneopal.net/logo/palloliitto/2989x.png
Estupidantes,https://cdn.torneopal.net/logo/palloliitto/1008x.png
Etelä-Afrikka,https://cdn.torneopal.net/logo/palloliitto/4173x.png
Etelä-Espoon Pallo,https://cdn.torneopal.net/logo/palloliitto/169x.png
Etelä-Helsingin Atlas,https://cdn.torneopal.net/logo/palloliitto/1130x.png
Etelä-KePS,https://cdn.torneopal.net/logo/palloliitto/3756x.png
Etelä-Vantaan Urheilijat,https://cdn.torneopal.net/logo/palloliitto/2261x.png
ETIHAD,https://cdn.torneopal.net/logo/palloliitto/6014x.png
Etu-Töölön Urhot,https://cdn.torneopal.net/logo/palloliitto/5195x.png
EUK,
Euran Pallo,https://cdn.torneopal.net/logo/palloliitto/3047x.png
Evijärven Urheilijat,https://cdn.torneopal.net/logo/palloliitto/3526x.png
EXIT OULU,
F RUUMIS,
F.C URPOT,
F.C. Heimo,https://cdn.torneopal.net/logo/palloliitto/4168x.png
F.C. YSINOLLA,
FAF/INTERNATIONAL,
Falcons FS,https://cdn.torneopal.net/logo/palloliitto/5914x.png
Fallpakan Fasaanit,https://cdn.torneopal.net/logo/palloliitto/6048x.png
Farsklubben,
Farssi,https://cdn.torneopal.net/logo/palloliitto/4425x.png
FATBURN LOVERS,
FC - Rankki-85,
FC 10 Helsinki,https://cdn.torneopal.net/logo/palloliitto/5716x.png
FC 13,
FC 69'ers,
FC 83,https://cdn.torneopal.net/logo/palloliitto/4071x.png
FC A La Plancha Calamar,https://cdn.torneopal.net/logo/palloliitto/516x.png
FC Aamukanuuna,https://cdn.torneopal.net/logo/palloliitto/4428x.png
FC Adonis,https://cdn.torneopal.net/logo/palloliitto/4429x.png
FC Afrodite,https://cdn.torneopal.net/logo/palloliitto/4170x.png
FC AJOKOIRAT,https://cdn.torneopal.net/logo/palloliitto/4912x.png
FC AJS,
Fc Albania Turku,https://cdn.torneopal.net/logo/palloliitto/6917x.png
FC ALEKYÖSTI,
FC AllStars,https://cdn.torneopal.net/logo/palloliitto/4432x.png
FC Anatolian Kotkat,https://cdn.torneopal.net/logo/palloliitto/4129x.png
FC Ankkalinna,https://cdn.torneopal.net/logo/palloliitto/2289x.png
FC Anonimo,
FC AROMIPESÄ,https://cdn.torneopal.net/logo/palloliitto/5022x.png
FC Asikkala,https://cdn.torneopal.net/logo/palloliitto/3713x.png
FC Askel,https://cdn.torneopal.net/logo/palloliitto/5085x.png
FC Athletic Sport,
FC Aztecas,https://cdn.torneopal.net/logo/palloliitto/396x.png
FC Babylon,https://cdn.torneopal.net/logo/palloliitto/2627x.png
FC Backyard Hooligans,
Fc Balkan,https://cdn.torneopal.net/logo/palloliitto/5993x.png
FC Balls Of Destiny,https://cdn.torneopal.net/logo/palloliitto/4433x.png
Fc BalticSquad,
FC Bamse,
FC Banaali,https://cdn.torneopal.net/logo/palloliitto/4434x.png
FC Bart Simpsonin Kesäloma,https://cdn.torneopal.net/logo/palloliitto/5878x.png
FC Basterds,https://cdn.torneopal.net/logo/palloliitto/4435x.png
FC Bastukka,
FC Beaver,https://cdn.torneopal.net/logo/palloliitto/4437x.png
FC BEE,
FC Beercelona,https://cdn.torneopal.net/logo/palloliitto/5634x.png
FC Berberson itä,
Fc Berbersson Länsi,
FC Berlin Monks,https://cdn.torneopal.net/logo/palloliitto/4439x.png
FC Bermuda,
FC Bischelona,https://cdn.torneopal.net/logo/palloliitto/5086x.png
FC Bitch lasagna,
FC Bling Bling,https://cdn.torneopal.net/logo/palloliitto/4440x.png
FC Blue Balls,https://cdn.torneopal.net/logo/palloliitto/4441x.png
FC BlueForce,
FC Boda,https://cdn.torneopal.net/logo/palloliitto/418x.png
FC BOGA,https://cdn.torneopal.net/logo/palloliitto/5994x.png
FC Bolleriinat,
FC Botnia,https://cdn.torneopal.net/logo/palloliitto/4113x.png
FC BreFu,https://cdn.torneopal.net/logo/palloliitto/5550x.png
FC BRIGHTON BOYS,
FC Brändöpojkarna,https://cdn.torneopal.net/logo/palloliitto/639x.png
FC Bunda,
FC Burn Out,https://cdn.torneopal.net/logo/palloliitto/6838x.png
FC Bändi,https://cdn.torneopal.net/logo/palloliitto/5919x.png
FC Cheddar,
FC Chicken Legs,https://cdn.torneopal.net/logo/palloliitto/4297x.png
FC City,https://cdn.torneopal.net/logo/palloliitto/5799x.png
FC COMEBACK,https://cdn.torneopal.net/logo/palloliitto/380x.png
FC CSC,https://cdn.torneopal.net/logo/palloliitto/1275x.png
FC Cynical Banderas,https://cdn.torneopal.net/logo/palloliitto/5553x.png
FC Dal,https://cdn.torneopal.net/logo/palloliitto/832x.png
Fc DB,
FC Deathspeed,https://cdn.torneopal.net/logo/palloliitto/3424x.png
FC Degis,https://cdn.torneopal.net/logo/palloliitto/463x.png
FC Dillinger,
FC Diplomatia,https://cdn.torneopal.net/logo/palloliitto/5396x.png
FC Dons,https://cdn.torneopal.net/logo/palloliitto/5388x.png
FC Dropout,https://cdn.torneopal.net/logo/palloliitto/5786x.png
FC Dustan,https://cdn.torneopal.net/logo/palloliitto/5345x.png
FC Dynamo Tampere,https://cdn.torneopal.net/logo/palloliitto/4443x.png
Fc Eagles,https://cdn.torneopal.net/logo/palloliitto/5651x.png
FC Early Birds,
FC EC,https://cdn.torneopal.net/logo/palloliitto/6051x.png
FC ECRAFT,
FC Edari,https://cdn.torneopal.net/logo/palloliitto/4444x.png
FC Eiliset,https://cdn.torneopal.net/logo/palloliitto/4445x.png
FC Elankerjuu,https://cdn.torneopal.net/logo/palloliitto/4446x.png
FC Elite,
FC Ellit,
Fc Elämänmeno,
FC Enkelit,https://cdn.torneopal.net/logo/palloliitto/2756x.png
FC Esanssi,https://cdn.torneopal.net/logo/palloliitto/1018x.png
FC ESP,https://cdn.torneopal.net/logo/palloliitto/5573x.png
FC Espoo,https://cdn.torneopal.net/logo/palloliitto/20x.png
FC Etapo,https://cdn.torneopal.net/logo/palloliitto/738x.png
FC ETUKENO,
FC Eurajoki,https://cdn.torneopal.net/logo/palloliitto/632x.png
Fc Fantasia ja Limukat,https://cdn.torneopal.net/logo/palloliitto/5973x.png
FC Fearless,
FC Femur,https://cdn.torneopal.net/logo/palloliitto/1153x.png
FC Fika,
FC FINLEE,
FC Finnkurd,https://cdn.torneopal.net/logo/palloliitto/1253x.png
FC Flagship,
FC Floppi,
FC Folk,https://cdn.torneopal.net/logo/palloliitto/42x.png
FC Football Club Helsingfors,https://cdn.torneopal.net/logo/palloliitto/2691x.png
FC Football Club Oulu,
FC Football team,
FC Force Majeure,
FC Fortuna 05,https://cdn.torneopal.net/logo/palloliitto/4449x.png
FC Fortuna Helsinki,https://cdn.torneopal.net/logo/palloliitto/3641x.png
FC Fox,https://cdn.torneopal.net/logo/palloliitto/1254x.png
FC FreVo,https://cdn.torneopal.net/logo/palloliitto/1277x.png
FC FudISS,
FC Funboys,https://cdn.torneopal.net/logo/palloliitto/957x.png
FC Futura Juniorit,https://cdn.torneopal.net/logo/palloliitto/110x.png
FC Futura Porvoo,https://cdn.torneopal.net/logo/palloliitto/134x.png
FC Galsea,https://cdn.torneopal.net/logo/palloliitto/5859x.png
FC GASELLE,https://cdn.torneopal.net/logo/palloliitto/3283x.png
FC Germania Helsinki,https://cdn.torneopal.net/logo/palloliitto/3678x.png
FC Global,https://cdn.torneopal.net/logo/palloliitto/5196x.png
FC Grani Airbags,https://cdn.torneopal.net/logo/palloliitto/2628x.png
FC Grunge,https://cdn.torneopal.net/logo/palloliitto/2581x.png
FC Gullit,https://cdn.torneopal.net/logo/palloliitto/4050x.png
FC H,
FC Haaga,
FC Haka Juniorit,https://cdn.torneopal.net/logo/palloliitto/2828x.png
FC Halikko,https://cdn.torneopal.net/logo/palloliitto/150x.png
FC HALJASET AISAT,
FC HALLELUJA,
FC Hamletin Tiikerit,https://cdn.torneopal.net/logo/palloliitto/5395x.png
FC HaPa,https://cdn.torneopal.net/logo/palloliitto/3142x.png
FC Hattivatit,
FC HauCat,
FC Haxi,https://cdn.torneopal.net/logo/palloliitto/5843x.png
FC HDT,
FC Heikkonen,https://cdn.torneopal.net/logo/palloliitto/1193x.png
FC Heikkonen,
FC Heimo,https://cdn.torneopal.net/logo/palloliitto/5974x.png
FC Heisenberg,https://cdn.torneopal.net/logo/palloliitto/4453x.png
FC Heiskan Seiväs,https://cdn.torneopal.net/logo/palloliitto/5881x.png
FC Helmi Jätkä,https://cdn.torneopal.net/logo/palloliitto/5233x.png
FC Helsingin Keskiviikko,https://cdn.torneopal.net/logo/palloliitto/4455x.png
FC Helsingin Pumppu,https://cdn.torneopal.net/logo/palloliitto/509x.png
FC HERPES,
FC Hervanta,https://cdn.torneopal.net/logo/palloliitto/909x.png
FC Hesan Naiset,
FC Hieho,https://cdn.torneopal.net/logo/palloliitto/1255x.png
FC HIK,https://cdn.torneopal.net/logo/palloliitto/235x.png
FC HIKA TUHO,
FC Hiki,https://cdn.torneopal.net/logo/palloliitto/5832x.png
FC Himmenneet toivot,
FC Hippo,https://cdn.torneopal.net/logo/palloliitto/4456x.png
FC Hollola,
FC Hollywood,
FC Homer,https://cdn.torneopal.net/logo/palloliitto/1025x.png
FC Honka,https://cdn.torneopal.net/logo/palloliitto/74x.png
FC Horna,https://cdn.torneopal.net/logo/palloliitto/1026x.png
FC HotLips Turku,https://cdn.torneopal.net/logo/palloliitto/3284x.png
FC Hotsi,
FC HRP,https://cdn.torneopal.net/logo/palloliitto/5069x.png
FC Huhi,https://cdn.torneopal.net/logo/palloliitto/6041x.png
FC HUKI,https://cdn.torneopal.net/logo/palloliitto/3757x.png
FC Hulapaluu,https://cdn.torneopal.net/logo/palloliitto/4458x.png
FC Humppaveikot,https://cdn.torneopal.net/logo/palloliitto/1027x.png
FC Huomenna Sattuu,
FC Hurrit,https://cdn.torneopal.net/logo/palloliitto/4459x.png
FC Hutivaara,https://cdn.torneopal.net/logo/palloliitto/5600x.png
FC Hutiveto,
FC Huuru,https://cdn.torneopal.net/logo/palloliitto/911x.png
FC Hysteria,
FC Håkan,https://cdn.torneopal.net/logo/palloliitto/3922x.png
FC Härkä,
FC Höntsä,
FC HöpöHöpö,
FC Höpönassut,https://cdn.torneopal.net/logo/palloliitto/4460x.png
FC Höynä,
FC Illyria,https://cdn.torneopal.net/logo/palloliitto/5713x.png
Fc Inter Vuosaari,https://cdn.torneopal.net/logo/palloliitto/5380x.png
FC Istanbul,
FC Itä City,https://cdn.torneopal.net/logo/palloliitto/5922x.png
FC Jaffa-pennut,https://cdn.torneopal.net/logo/palloliitto/5070x.png
FC JAKSAAJAKSAA,https://cdn.torneopal.net/logo/palloliitto/5066x.png
FC Jakub Janka,
FC Jalkakynä,
FC JALKANOPPA,
FC Jalkapallojoukkue,
FC Jazz Juniorit,https://cdn.torneopal.net/logo/palloliitto/3048x.png
FC Jenga Team,https://cdn.torneopal.net/logo/palloliitto/5534x.png
FC JIM,https://cdn.torneopal.net/logo/palloliitto/5071x.png
FC JOKU,https://cdn.torneopal.net/logo/palloliitto/4298x.png
FC JooJoo,https://cdn.torneopal.net/logo/palloliitto/4463x.png
FC Juha,https://cdn.torneopal.net/logo/palloliitto/6049x.png
FC Juicy,https://cdn.torneopal.net/logo/palloliitto/1281x.png
FC Junantuomat,
FC Juvantus,https://cdn.torneopal.net/logo/palloliitto/4914x.png
FC Jyväskylä,https://cdn.torneopal.net/logo/palloliitto/6068x.png
FC JälkiHiki,https://cdn.torneopal.net/logo/palloliitto/4464x.png
Fc Jälkipeli,https://cdn.torneopal.net/logo/palloliitto/5411x.png
FC Jääs,https://cdn.torneopal.net/logo/palloliitto/1028x.png
FC Kaatsi,
FC Kaiutinsarja,
FC Kakkonen,https://cdn.torneopal.net/logo/palloliitto/4466x.png
FC KALI,https://cdn.torneopal.net/logo/palloliitto/4162x.png
FC KALJAMAHAT,
FC Kalkkaro,https://cdn.torneopal.net/logo/palloliitto/960x.png
FC Kalmajukka,
FC Kanarianlinnut,https://cdn.torneopal.net/logo/palloliitto/4467x.png
FC Kangasala,https://cdn.torneopal.net/logo/palloliitto/412x.png
FC Kapina,https://cdn.torneopal.net/logo/palloliitto/3675x.png
FC Kara,https://cdn.torneopal.net/logo/palloliitto/1283x.png
FC Karhukopla,
Fc Karhuvuori,
FC Kasiysi Espoo,https://cdn.torneopal.net/logo/palloliitto/41x.png
FC KASKI,https://cdn.torneopal.net/logo/palloliitto/4920x.png
FC Kaupa,
FC Kekkeruusit,
FC Keravan Dynamo,https://cdn.torneopal.net/logo/palloliitto/2649x.png
FC KERHO 07,
FC Kerimäki,https://cdn.torneopal.net/logo/palloliitto/620x.png
FC Kerubi,
FC KESPRO,
FC KetterätKetut,
FC Kevyt Olo,https://cdn.torneopal.net/logo/palloliitto/5841x.png
FC Kevytmajoneesi,
FC Kiisto,https://cdn.torneopal.net/logo/palloliitto/443x.png
FC Killa Beez,
FC Kinkut,https://cdn.torneopal.net/logo/palloliitto/1169x.png
FC KIPPo,https://cdn.torneopal.net/logo/palloliitto/2716x.png
FC Kirkkonummi FC Kyrkslätt,https://cdn.torneopal.net/logo/palloliitto/4132x.png
FC Kirves,
FC Kissat,https://cdn.torneopal.net/logo/palloliitto/1170x.png
FC Kivenkova,https://cdn.torneopal.net/logo/palloliitto/4471x.png
FC Kliini,https://cdn.torneopal.net/logo/palloliitto/789x.png
FC Kliniken,
FC KMPH,https://cdn.torneopal.net/logo/palloliitto/5087x.png
FC KMPH,
FC Kobane,https://cdn.torneopal.net/logo/palloliitto/3490x.png
FC Koffin Blossi,https://cdn.torneopal.net/logo/palloliitto/2737x.png
FC Komar Kurdistan,https://cdn.torneopal.net/logo/palloliitto/3285x.png
FC Kommunisti,https://cdn.torneopal.net/logo/palloliitto/4472x.png
FC KOMU,https://cdn.torneopal.net/logo/palloliitto/272x.png
FC Kontu,https://cdn.torneopal.net/logo/palloliitto/171x.png
FC KOOTEEPEE,https://cdn.torneopal.net/logo/palloliitto/404x.png
FC Korealaiset,
FC Korso,https://cdn.torneopal.net/logo/palloliitto/219x.png
FC Kosmik Balls,
FC KotiBags,https://cdn.torneopal.net/logo/palloliitto/6173x.png
